Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;UPyD;9
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;VOX;4
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;FE de las JONS;2
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;PACMA;0
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;P.P.;229
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;P.S.O.E.;127
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;PODEMOS;77
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;C's;41
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;I.U.EQUO;18
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;PACMA;3
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;FE de las JONS;3
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;UPyD;2
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;765;322;425;530;22;6;VOX;2
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;P.S.O.E.;137
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;P.P.;136
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;PODEMOS;32
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;C's;30
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;I.U.EQUO;11
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;527;237;356;365;10;5;PACMA;3
