022016061011102501002 A00006610000661000000000000000000240000031900000140000006000042500000000000000S
022016061011102701025 U00009370000937000000000000000000331000048200000060000009000063800000000000000S
022016061011102702003 A00004530000453000000000000000000185000025600000050000004000040200000000000000S
022016061011102801001 B00007150000715000000000000000000292000038000000040000003000046000000000000000S
022016061011102804007 A00005440000544000000000000000000231000030200000070000006000038000000000000000S
022016061011103003010 A00007450000745000000000000000000218000031800000040000007000045200000000000000S
022016061011103101005 A00004680000468000000000000000000169000022200000080000005000027600000000000000S
022016061011103103007 B00006360000636000000000000000000244000030100000070000006000039900000000000000S
022016061011103201001 A00006430000643000000000000000000209000028300000060000001000038300000000000000S
022016061011103201003 A00007160000716000000000000000000173000025800000080000004000038000000000000000S
022016061011103205007 B00007860000786000000000000000000241000033800000070000007000047400000000000000S
022016061011103301002 U00007860000786000000000000000000309000040100000080000004000048400000000000000S
022016061011103305001 A00007620000762000000000000000000231000030400000010000005000039900000000000000S
022016061011103801011 A00005550000555000000000000000000214000034600000060000004000039200000000000000S
022016061011104102004 U00006970000697000000000000000000273000034500000050000004000047100000000000000S
022016061011400203002 B00008680000868000000000000000000376000049900000020000007000064800000000000000S
022016061011400701002 A00008340000834000000000000000000352000045000000060000011000057500000000000000S
022016061011400703003 U00007880000788000000000000000000313000037200000010000002000050700000000000000S
022016061011400804001 U00009700000970000000000000000000413000051800000090000004000066100000000000000S
022016061011401302001 B00006060000606000000000000000000243000031300000030000007000042900000000000000S
022016061011401303001 U00007670000767000000000000000000314000039900000030000020000053300000000000000S
022016061011401701004 A00008670000867000000000000000000406000050500000070000011000056800000000000000S
022016061011401701005 A00006930000693000000000000000000244000032200000050000002000047800000000000000S
022016061011402101016 U00006730000673000000000000000000303000039500000040000001000051300000000000000S
022016061011402101024 B00007370000737000000000000000000352000044800000030000003000060500000000000000S
022016061011402102011 U00008960000896000000000000000000384000047500000060000008000055600000000000000S
022016061011402102012 U00010090001009000000000000000000431000054500000080000009000064600000000000000S
022016061011402102021 A00006020000602000000000000000000224000029000000010000000000039700000000000000S
022016061011402105004 A00006100000610000000000000000000267000033400000000000000000043400000000000000S
022016061011402105025 B00005240000524000000000000000000251000027600000040000001000034500000000000000S
022016061011402106008 A00005660000566000000000000000000228000029300000030000002000037400000000000000S
022016061011402109010 A00008460000846000000000000000000312000039800000110000003000049000000000000000S
022016061011402109033 B00006450000645000000000000000000312000035500000120000003000040800000000000000S
022016061011402110001 A00005900000590000000000000000000336000040000000000000004000048600000000000000S
022016061011402110041 B00005090000509000000000000000000203000024700000010000004000030000000000000000S
022016061011402110042 B00006650000665000000000000000000319000042300000010000002000052400000000000000S
022016061011402110046 U00007270000727000000000000000000295000039700000010000007000047000000000000000S
022016061011403801002 U00009800000980000000000000000000410000051400000050000006000067800000000000000S
022016061011403802007 B00007820000782000000000000000000232000034800000070000003000048800000000000000S
022016061011404601001 B00006360000636000000000000000000300000034100000030000010000044900000000000000S
022016061011404902004 U00007450000745000000000000000000278000034300000040000003000045900000000000000S
022016061011405202002 U00005680000568000000000000000000184000022500000030000007000031200000000000000S
022016061011405502006 A00006550000655000000000000000000246000031300000090000007000043800000000000000S
022016061011405603002 A00006010000601000000000000000000284000035000000030000004000044900000000000000S
022016061011406201001 U00005140000514000000000000000000234000028300000040000010000038300000000000000S
022016061011406601001 B00005910000591000000000000000000244000032000000020000009000042200000000000000S
022016061011406601002 B00005910000591000000000000000000219000028500000040000004000040300000000000000S
022016061011406702001 B00006600000660000000000000000000294000036500000050000007000049200000000000000S
022016061011800301002 U00009160000916000000000000000000375000046600000020000012000061600000000000000S
022016061011801101003 B00006150000615000000000000000000258000035300000030000002000045500000000000000S
022016061011801701003 A00005820000582000000000000000000165000022900000050000003000029000000000000000S
022016061011801701006 A00004500000450000000000000000000192000026800000020000002000032700000000000000S
022016061011802101007 U00009040000904000000000000000000315000038500000030000003000050500000000000000S
022016061011802902001 U00008710000871000000000000000000270000039200000050000005000056100000000000000S
022016061011804701001 A00007760000776000000000000000000263000037500000050000005000052300000000000000S
022016061011805701003 A00005170000517000000000000000000196000026000000030000005000036600000000000000S
022016061011807101001 B00007130000713000000000000000000303000037200000040000004000049600000000000000S
022016061011807101002 A00003910000391000000000000000000151000019300000040000003000026200000000000000S
022016061011807101004 A00006320000632000000000000000000280000033200000060000004000045000000000000000S
022016061011807601001 U00008040000804000000000000000000270000036700000010000002000054800000000000000S
022016061011807901002 U00007920000792000000000000000000303000039600000060000008000053000000000000000S
022016061011808701008 U00006400000640000000000000000000307000039800000020000003000050700000000000000S
022016061011808701010 U00006000000600000000000000000000267000033900000020000003000045700000000000000S
022016061011808702006 U00007580000758000000000000000000315000045100000030000006000059600000000000000S
022016061011808702017 A00004920000492000000000000000000199000024400000030000006000031500000000000000S
022016061011808702046 A00009950000995000000000000000000431000062400000040000002000078700000000000000S
022016061011808702049 U00007730000773000000000000000000357000046300000040000007000055400000000000000S
022016061011808703006 A00004890000489000000000000000000183000027900000030000004000037600000000000000S
022016061011808703040 B00005160000516000000000000000000217000028200000050000003000041000000000000000S
022016061011808703043 B00006570000657000000000000000000232000035800000050000001000051700000000000000S
022016061011808707025 A00006810000681000000000000000000284000038400000070000001000056900000000000000S
022016061011808707034 B00005630000563000000000000000000233000031300000010000008000045000000000000000S
022016061011808901011 B00004550000455000000000000000000189000025600000020000000000034900000000000000S
022016061011810101003 B00008010000801000000000000000000312000039700000060000009000056800000000000000S
022016061011810201003 A00008170000817000000000000000000331000041000000050000015000052800000000000000S
022016061011810202002 A00006240000624000000000000000000188000024200000070000007000035600000000000000S
022016061011812201002 B00007310000731000000000000000000348000040700000010000010000053000000000000000S
022016061011812701004 A00008110000811000000000000000000342000043000000020000005000055000000000000000S
022016061011812702002 B00005370000537000000000000000000199000024800000050000001000033600000000000000S
022016061011813402001 A00007270000727000000000000000000255000033500000070000007000045800000000000000S
022016061011813402001 B00007190000719000000000000000000255000033900000060000007000046800000000000000S
022016061010401305003 B00006480000648000000000000000000225000029000000020000000000039300000000000000S
022016061010401306010 U00006810000681000000000000000000253000037000000040000006000044600000000000000S
022016061010401306011 U00008450000845000000000000000000308000040000000030000007000056600000000000000S
022016061010401306016 B00007300000730000000000000000000220000031200000020000004000045700000000000000S
022016061010401307015 A00007610000761000000000000000000249000033100000050000003000043600000000000000S
022016061010401307018 B00009230000923000000000000000000325000043700000020000000000060200000000000000S
022016061010401307019 A00005780000578000000000000000000218000028300000050000004000037300000000000000S
022016061010401307025 B00008150000815000000000000000000368000046000000080000003000062600000000000000S
022016061010401307048 U00007520000752000000000000000000276000040600000050000001000057800000000000000S
022016061010401308001 U00007750000775000000000000000000328000040900000060000000000050400000000000000S
022016061010402901007 A00005790000579000000000000000000195000026800000020000002000037900000000000000S
022016061010403201003 A00005130000513000000000000000000164000024600000020000000000035500000000000000S
022016061010403504001 B00004620000462000000000000000000126000018600000020000002000028200000000000000S
022016061010403801001 B00008120000812000000000000000000283000041000000020000004000052900000000000000S
022016061010404401001 B00008800000880000000000000000000367000051300000030000006000065600000000000000S
022016061010404701001 B00004420000442000000000000000000206000028200000010000004000036800000000000000S
022016061010405001001 U00008000000801000000000000000000297000039300000030000005000055000000000000000S
022016061010405201002 B00009460000946000000000000000000338000048100000090000003000061300000000000000S
022016061010405301001 A00006360000636000000000000000000283000035000000030000006000044700000000000000S
022016061010405305002 A00004090000409000000000000000000143000023000000030000004000029400000000000000S
022016061010406001001 U00004450000445000000000000000000200000026100000050000003000034000000000000000S
022016061010406901004 U00007410000741000000000000000000291000038900000040000005000055100000000000000S
022016061010407701001 U00002950000295000000000000000000156000020500000020000002000025900000000000000S
022016061010407901001 A00005190000519000000000000000000212000028400000020000000000034400000000000000S
022016061010407901012 A00007310000731000000000000000000188000027500000060000002000035300000000000000S
022016061010407902026 A00006000000600000000000000000000231000028900000050000002000039300000000000000S
022016061010408801001 A00005900000590000000000000000000250000032000000020000003000042000000000000000S
022016061010409902001 U00005000000500000000000000000000173000027200000000000004000034400000000000000S
022016061010410201012 B00006010000601000000000000000000244000030500000030000002000038300000000000000S
022016061010490201035 A00006120000612000000000000000000243000031700000050000001000042000000000000000S
022016061011100101002 B00006510000651000000000000000000245000031600000030000004000041800000000000000S
022016061011100401005 U00006400000640000000000000000000248000031400000040000001000037500000000000000S
022016061011100402001 A00006990000699000000000000000000221000031700000030000006000043800000000000000S
022016061011100404008 U00006240000624000000000000000000187000023800000030000002000030400000000000000S
022016061011100404011 B00009290000929000000000000000000223000038400000070000002000052300000000000000S
022016061011100404017 A00005930000593000000000000000000202000029700000040000003000041500000000000000S
022016061011100404017 B00006930000693000000000000000000230000036500000080000001000047900000000000000S
022016061011100601006 B00008790000879000000000000000000285000039100000080000002000050500000000000000S
022016061011100702003 A00005710000571000000000000000000168000024300000050000005000032500000000000000S
022016061011101204006 U00007170000717000000000000000000246000039700000110000007000045200000000000000S
022016061011101205006 U00005570000557000000000000000000204000026000000050000003000034300000000000000S
022016061011101208006 A00005750000575000000000000000000256000033400000060000001000042800000000000000S
022016061011101208012 A00005490000549000000000000000000180000025400000000000003000030500000000000000S
022016061011101208022 U00005860000586000000000000000000234000030600000000000002000038400000000000000S
022016061011101209017 U00008400000840000000000000000000359000045700000000000009000055900000000000000S
022016061011101209020 U00005850000585000000000000000000179000025200000010000002000029200000000000000S
022016061011101210010 U00008140000814000000000000000000357000046100000070000001000056200000000000000S
022016061011101403001 A00005290000529000000000000000000163000025200000020000002000031600000000000000S
022016061011101504003 A00006950000695000000000000000000231000030700000020000005000039500000000000000S
022016061011101504008 A00006000000600000000000000000000224000030500000030000005000038100000000000000S
022016061011101504011 U00008070000807000000000000000000284000036100000030000004000044300000000000000S
022016061011102002022 U00008070000807000000000000000000355000046100000010000002000059800000000000000S
022016061011102002024 U00009280000928000000000000000000381000052600000100000003000067200000000000000S
022016061011102004006 A00006800000680000000000000000000293000041600000030000001000055900000000000000S
022016061011102004013 B00007050000705000000000000000000253000035600000060000004000046600000000000000S
022016061011102005011 U00007920000792000000000000000000316000038900000080000004000046700000000000000S
022016061011102006006 B00009010000901000000000000000000327000041400000110000003000052400000000000000S
022016061011102006011 B00007670000767000000000000000000318000040900000050000003000052900000000000000S
022016061011102006023 A00005470000547000000000000000000186000025700000040000004000034800000000000000S
022016061011102007001 U00008020000802000000000000000000316000040000000050000007000049200000000000000S
022016061011102009001 U00005130000513000000000000000000189000024700000000000002000029000000000000000S
022016061011102102001 A00007600000760000000000000000000263000035600000040000007000050200000000000000S
022016061011102203001 A00004490000449000000000000000000143000022600000030000000000028800000000000000S
022016061011102205001 U00008280000828000000000000000000244000034000000050000008000041200000000000000S
022016061011102207001 A00005390000539000000000000000000105000017400000000000001000021100000000000000S
022016061011102304001 A00005270000527000000000000000000233000029500000100000002000038100000000000000S
022016061011102305002 B00004300000430000000000000000000163000022500000010000000000029500000000000000S
022016061011102305004 A00006310000631000000000000000000218000028200000090000008000039300000000000000S
022016061011102404001 B00005090000509000000000000000000197000026300000030000010000037800000000000000S
022016061011102701024 A00005140000514000000000000000000206000026800000060000002000033700000000000000S
022016061011102702004 A00005540000554000000000000000000232000031000000030000002000040000000000000000S
022016061011102702008 A00004820000482000000000000000000172000027600000050000003000036500000000000000S
